"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"3.0","7 Oct 2016","Assistant Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW12220540.htm","Assistant manager","Former employee, more than 1 year","New Delhi","Good Leadership and good branding","Exposure was less , opportunity for growth was negligible and less compentation","","",""
"3.0","17 Aug 2017","Hero Motocorp R&D Engineer Review","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW16397980.htm","Anonymous employee","Former employee","","","","Great Scope of Work
Great Company and Support Staff","HR team to be more motivated","Show more"
"4.0","13 Aug 2017","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW16339137.htm","Anonymous employee","Former employee, more than 8 years","Gurgaon, Haryana","","","Good salaries are given to employees","Can be made more competetive","Show more"
"1.0","23 Sept 2017","Very Bad company","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW16986221.htm","Cylindrical grinder operator","Former employee, more than 8 years","Gurgaon, Haryana","","","Very very bad company after 8 years of working company fire 600 iti worker without any reason  from gurgaon plant","Management of this company is very very bad they all only for permanent worker","Show more"
"4.0","5 Jan 2018","Best to work in","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW18593102.htm","Supervisor","Current employee, more than 5 years","New Delhi","","","Great place to work in","Not as such, everything is perfect","Show more"
"1.0","24 Jan 2018","Marketing Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW18904563.htm","Anonymous employee","Current employee","","","","Market leader in 2W industry","Unorganized, Lacks vision, No open culture, Duplicacy of work, car loan,","Show more"
"3.0","22 Sept 2018","Good place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW22607986.htm","Anonymous employee","Former employee","","","","Good working environment, salary, good opportunity","Worktime,6 days,no innovation ,time,salary is not good","Show more"
"5.0","11 May 2019","Senior Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW26089268.htm","Senior manager","Current employee, more than 10 years","Jaipur, Rajasthan","Team work, honesty, integrity, support from management","nothing as such. standaardization of practises is undeway","","",""
"3.0","7 Jun 2019","Good opportunities","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW26539867.htm","Anonymous employee","Former employee, more than 1 year","Gurgaon, Haryana","Lots to learn in operations and management","Lala type culture, should take care of employee benefits more","","",""
"4.0","7 Jun 2019","Team Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW26532636.htm","Anonymous employee","Current employee","","Very simple & Culture based company","Growth is limited, Not new things are exposed to you.","","",""
