"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"4.0","14 Feb 2018","A great company to get settled in.","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW19254924.htm","Anonymous employee","Current employee","","",""
"4.0","25 Mar 2018","Senior Finance Executive","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW19864805.htm","Senior finance executive","Current employee, more than 1 year","","",""
"4.0","5 Apr 2018","Highly professional & system driven","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW20035025.htm","Zonal sales manager","Current employee, more than 1 year","Timely appraisal, salaries on time, learning & development","Many kpi driven simultaneously 
Pressure on business","Show more"
"3.0","14 Apr 2018","Great potential  - Poor Mgmt","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW20156013.htm","Anonymous contractor","Former contractor","Massive potential 
Great work mates","Short term view
Lack of faith in local staff","Show more"
"4.0","16 Jul 2018","Good company to work with","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW21496293.htm","Anonymous employee","Former employee","","",""
"4.0","30 Sept 2018","The role exposed me to various areas of the business and sharped my entrepreneurial skills","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW22728257.htm","Anonymous employee","Former employee","","",""
"5.0","10 Feb 2019","Excellent Organisation","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW24629300.htm","Manager","Current employee, more than 3 years","Great opportunities and IJP possible for shifting locations","Salary increment and promotions are very slow","Show more"
"5.0","10 Jun 2019","bharti airtel chnadigarh regional office finance department","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW26560660.htm","Cost trainee","Former intern, less than 1 year","","",""
"3.0","11 Jul 2019","Good company for beginners in sales field","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW27933226.htm","Anonymous employee","Current employee, more than 1 year","","",""
"3.0","22 Jul 2019","I want good job good management people","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW28167262.htm","Ujpm","Current employee, more than 3 years","Business development, new outlet creation, customer good relationship, posstive thinking, territory management","Lead qualification,sales traning, customer handling,","Show more"
"3.0","3 Sept 2019","Good company but slow growth","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW29012406.htm","Anonymous employee","Former employee, more than 3 years","","",""
"4.0","4 Oct 2019","Airtel Payments Bank","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW29615305.htm","Anonymous employee","Current employee","","",""
"5.0","9 Oct 2019","AREA SALES MANAGER","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW29718751.htm","Anonymous employee","Current employee","","",""
"4.0","6 Jan 2020","Good professional environment.","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW31141754.htm","Territory manager","Former employee, more than 1 year","","",""
"2.0","22 Jan 2020","Okayish Company","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW31426531.htm","Anonymous employee","Former employee, less than 1 year","","",""
