"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"2.0","11 Apr 2022","company culture","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW62640494.htm","B2b head","Current employee, more than 10 years","lots of learning opportunities
clarity of roles and responsibility
approachable management","No growth plan vertical as well as horizontal
no transparency in review system","Show more"
"5.0","15 Aug 2022","Company Growth","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW67950725.htm","Executive team leader","Current employee, more than 5 years","Think fresh & deliver more","I am here because only our Respected Customer","Show more"
"4.0","17 Aug 2022","Dynamic environment","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW68048907.htm","Dgm it","Former employee, more than 3 years","","",""
"2.0","19 Aug 2022","Poor company","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW68106907.htm","Anonymous employee","Current employee","","",""
"3.0","17 Aug 2022","It is fine place to work.","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW68005031.htm","Senior executive","Former employee","","",""
"5.0","18 Aug 2022","Customer Experience","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW68091099.htm","Assistant manager","Current employee, more than 5 years","Good work with life balance","need some equality between employees and associates","Show more"
"5.0","10 Jul 2022","Overall excellent organization","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW66524591.htm","Business manager","Current employee, more than 3 years","Culture, management is world class.good governance , career path and learning projects everything is good.performanec& efforts is taken on serious note here","Employee retention policy is missing on paper.","Show more"
"4.0","26 Jul 2022","Sales at corporate level","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW67194331.htm","Key account manager","Current employee, more than 1 year","Good for freshers to start his career in MNC company","Target based job , little bit difficult to capture regular clients.","Show more"
"4.0","23 Jul 2022","GREAT WORK CULTURE","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW67059641.htm","Business analyst","Current employee, more than 3 years","","",""
"3.0","11 Aug 2022","Airtel TAC , good for learning","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW67793139.htm","Network engineer ii","Former employee, more than 3 years","","",""
"4.0","26 Jul 2022","Good Place to learn.","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW67154436.htm","Anonymous employee","Current employee, more than 8 years","","",""
"5.0","23 Aug 2022","good","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW68269254.htm","Assistant manager","Current employee","very good environment, great building","nothing as of now today","Show more"
"5.0","29 Jul 2022","Good learning place and good management","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW67316390.htm","Senior executive","Current employee","","",""
"4.0","16 Aug 2022","Very good","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW67966445.htm","Reactjs developer","Former employee","","",""
"3.0","29 Jun 2022","Review","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW66111604.htm","Business support executive","Former employee","As an employee you get to learn a lot interacting with other roles in different departments and capacity.","Communication from Human Resource can improve","Show more"
"4.0","11 Aug 2022","salary","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW67792071.htm","Vice president sales","Current employee, less than 1 year","good salary and exposure in terms of system and process","no work life balance for employees","Show more"
"3.0","10 Aug 2022","OKAY","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW67750317.htm","Associate growth manager","Current employee, less than 1 year","","",""
"5.0","19 Aug 2022","SB TL","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW68098541.htm","Sales manager","Current employee, more than 5 years","","",""
"4.0","14 Aug 2022","GOOD compensation","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW67888254.htm","Software engineer","Current employee, more than 1 year","","",""
"5.0","26 Jul 2022","Airtel is grate place","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW67153876.htm","Operations","Current employee, more than 10 years","Friendly environment, much learnings , knowledge can gain","work balance bit a challenge","Show more"
"3.0","18 Jul 2022","Salary increment issue","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW66849954.htm","Customer service representative (csr)","Current employee, more than 3 years","","",""
"4.0","24 Aug 2022","Review","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW68273922.htm","Senior software engineer","Former employee","Bigg brand, good employee benefits","Work life balance and 
Compensation","Show more"
"5.0","25 Apr 2022","NOC Experience","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW63217207.htm","Noc manager","Current employee, more than 5 years","Bharti Airtel is very good organization to work here and to learned Multiple technology, Work environment also very friendly and our college as family....","Bharti Airtel gives the challenge one of new player JIO and exceed to ward success to build customer base and serve customer best network experience.","Show more"
"4.0","15 Jul 2022","Area Sales Manager","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW66737001.htm","Territory sales manager (tsm)","Current employee, more than 1 year","Easy business as it’s renowned brand","Corporate Politics, Biased Top management.","Show more"
"1.0","12 Oct 2022","No work life balance","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW70074993.htm","Senior executive","Former employee, less than 1 year","As a whole company is good and provides benefits","No work life balance 
Poor management
No growth","Show more"
"4.0","20 Aug 2022","-","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW68150714.htm","Software developer","Current employee","Great learning. 
Use of advanced tech.","Work life balance is less.","Show more"
"4.0","6 Aug 2022","Good","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW67618410.htm","Senior executive operations","Former employee, more than 5 years","","",""
"4.0","18 Aug 2022","Great learning experience","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW68055551.htm","Ace intern","Current intern, less than 1 year","","",""
"4.0","19 Aug 2022","About Company","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW68100618.htm","Senior software engineer","Current employee, more than 3 years","new tech
good learning
good word environment","resources are not well managed","Show more"
"4.0","11 Aug 2022","Good company to work for","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW67795890.htm","Software development engineer (sde) ii","Current employee","Good pay scale
Employre friendly
Good people","A little miss management in tech","Show more"
"5.0","28 Jul 2022","AES Data TL","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW67253749.htm","Senior executive operations","Current employee, more than 8 years","India number one company in telecom sector","No down side cons as good company","Show more"
"5.0","31 Jul 2022","Good","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW67375698.htm","Territory sales manager (tsm)","Current employee, less than 1 year","Good management,culture and best growing company","The main way of working is company rules","Show more"
"5.0","19 Apr 2022","Best Place to learn & grow in Telecom","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW63001832.htm","Zonal sales manager","Current employee, more than 1 year","innovation learning & exposure is 360° with cross function. everyday new task new challenges makes working fun & excitement","6 days working and with fuel price increasing sales fuel allowance has not revised which needs flexibility or revision every qtr based on rise & dip","Show more"
"4.0","9 Aug 2022","Experience is very good till now.","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW67716443.htm","Senior software engineer","Current employee","","",""
"4.0","18 Aug 2022","Utility Engineer","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW68090128.htm","Utility engineer","Current employee, more than 8 years","","",""
"1.0","18 Sept 2022","11 years experience","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW69190558.htm","Market operations","Current employee, more than 10 years","Airtel give immense opportunity to groom & grow","Getting timely opportunity to grow so as of now no cons clicking in mind","Show more"
"1.0","12 Aug 2022","The Worst","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW67836035.htm","Senior engineer - qa","Current employee, more than 1 year","Nothing... I could have given the negative Rating as well.","1. No learning graph.
2. All power in the hand of EMs
3. HRs are just managerial guys. they pass all your surveys ans with names to EMs.
4. EMs don't have any knowledge. Just passing time.","Show more"
"5.0","4 Aug 2022","Bad","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW67563331.htm","Anonymous employee","Current employee","","",""
"5.0","28 Jul 2022","feedback","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW67257760.htm","Market planning manager","Current employee","best in brand, good in customer experience, world class service","customer experience, market share, good product, customer solution","Show more"
"5.0","6 Aug 2022","outstanding","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW67614240.htm","Anonymous employee","Current employee, more than 5 years","Good company in Asia region","increase of business Airtel company","Show more"
"4.0","10 Aug 2022","Good to learn","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW67765581.htm","Senior software engineer","Former employee, less than 1 year","- good work
- nice benefits
- wfh","- work load sometimes
- long calls","Show more"
"4.0","18 Jul 2022","Cybersecurity","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW66829212.htm","Information security analyst","Current employee, more than 1 year","Supporrting team
Interactive sessions
Timely salary
No fuss","Work load
Last moment 
Its good
Management","Show more"
"5.0","11 Jul 2022","Mukesh kumar","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW66556074.htm","Bdm manager","Current employee, more than 3 years","Fantastic culture
Company values there loyal employees","HR should be regular in touch atleast once in a month.","Show more"
"1.0","5 Oct 2022","Not good company to work","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW69781222.htm","Customer relationship officer","Former employee, more than 3 years","","",""
"5.0","12 Apr 2022","Feedback","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW62698721.htm","Dgm - operations","Current employee, more than 10 years","Dynamic, Entrepreneurial, Aggressive , Empowered & Start up culture","work life balance, leave and exit policy","Show more"
"5.0","11 Aug 2022","Average","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW67810130.htm","Senior developer - .net","Current employee","","",""
"5.0","4 Aug 2022","A lot of learning","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW67563557.htm","Software development engineer in test (sdet)","Current employee, less than 1 year","","",""
"5.0","2 Jun 2022","look into better opportunity","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW65022140.htm","Customer service representative","Former employee","Good facility to the employee 
take care each and every employee like medical , ESI etc...
timely received the salary .","due to covid-19 pandemic and lock down situation on 2020/2021 
company cost cutting , also employee promotion not implement.","Show more"
