review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_location__E_Ine,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ
3.0,24 Jul 2024,Experience at Bajaj,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW89468996.htm,Data scientist,"Current employee, more than 1 year",Pune,"Ownership
Exposure at Big Financial Organization, you will be able to get significant knowledge about the industry
Over the top monthly incentives,which is not included in CTC","Little to no work from home
Saturday working even for IT personel
Buy your own Device Policy",Show more
3.0,13 Aug 2024,Shsan,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90052536.htm,Data engineer,Current intern,Mumbai,Best environment for all new fresher,Nothing is a bad office,Show more
1.0,30 Jul 2024,Join only if you are unmarried or selfish,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW89612595.htm,"Director, technology service - sr. domain manager","Current employee, more than 3 years",Pune,"1.Good salary 
2.Incentives 
3.Nil 
4.Nil 
5.Nil","1.Poor work life balance
2.Health Issues
3.Either you will die thinking about EMIs or staying in this organisation 
4.Learning only at the cost of your supervisor's mercy
5.No support from HR",Show more
4.0,30 Jul 2024,BFL PROS & CONS,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW89626785.htm,Senior unit manager,"Current employee, more than 5 years",Pune,,,
5.0,10 Aug 2024,Na,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW89964111.htm,Sales manager,"Former employee, more than 1 year",New Delhi,,,
4.0,3 Aug 2024,Nice place to work but no WFH,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW89751476.htm,Unit manager,"Current employee, more than 1 year",Pune,,,
5.0,2 Aug 2024,All good,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW89723294.htm,Sales officer,Current employee,,Do something more better as per situation,Everything is good but something is not suitable for me,Show more
4.0,1 Aug 2024,Product managing,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW89702144.htm,Unit manager,"Current employee, more than 3 years",Pune,Salary and job security in job,Working ways are hectic with 6 days,Show more
5.0,7 Aug 2024,Good company,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW89858688.htm,Manager,Current employee,,,,
4.0,2 Aug 2024,Great company for growth,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW89725330.htm,Software engineer,"Current employee, more than 1 year",Pune,,,
4.0,19 Jun 2024,Very good comapny,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW88396276.htm,Data scientist,"Current employee, more than 1 year",Pune,"1. In all companies, inflation typically affects various aspects of business operations. However, one significant advantage of working at Bajaj is that there is no inflationary impact on employees. 

2. If you are a member of the product team at Bajaj, you will receive a monthly incentive for successfully cross-selling products.","1. Bajaj does not provide Saturdays off for its employees.
2. Certain teams at Bajaj experience a lack of work-life balance.",Show more
5.0,4 Aug 2024,Best,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW89772444.htm,National head,Former employee,Pune,,,
5.0,31 Jul 2024,I love Bajaj,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW89685912.htm,Team lead,"Former employee, more than 3 years",Pune,,,
2.0,30 Jul 2024,Very Poor Culture,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW89645469.htm,Area manager,Former employee,"Jaipur, Rajasthan",,,
