"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"4.0","7 Nov 2014","Good place to learn and maintain work life balance...","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW5337232.htm","Junior manager - quality assurance","Current employee, more than 3 years","","","Vizianagaram","Good place to gain knowledge...
Learning opportunities...
Good work life balance...
Enough Freedom in your in functional area to take decisions...
Dr. Reddy's is suitable for freshers....","Need to improve in recruitment process
Try to recruit you at the same package... shows some hike in CTC, but in actual you get lower than you are getting...for example... they have shown me 10% hike in my package but in actual i was getting INR 200 less from my previous...
Appraisal process is not attractive
I worked for three years in Dr Reddy's @ Pydibhimavaram. My compensation was increased by 32% in all these three years of time. And now it is just doubled in two years out side Dr. Reddy's...","Show more"
"4.0","29 Aug 2020","Great familial environment","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW35416205.htm","Associate director human resources","Former employee, more than 5 years","","","Hyderābād","Expect to be treated with respect
Good quality of people all around
Collegial work environment 
Competitive remuneration 
Exposure to knowledge","Inconsistent expat policies 
Low process orientation - mostly individual driven 
Too many things taken up at a time - Focus lost","Show more"
"4.0","23 May 2012","High potential for growth but low work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW1531762.htm","Junior manager","Former employee, more than 1 year","","","Hyderābād","The company has a strong set of core values which leads to a very open organization with loads of respect for ideas and initiatives from everyone. The management is willing to listen to the problems faced by the employees.","Management is very fickle in terms of the initiative undertaken. Every member of the management pushes his own initiative through resulting in lack of focus due to inadequate and clashing resources at the execution level. Also, the compensation is on the lower side for a company vying to be a global player in the industry.","Show more"
"5.0","24 Mar 2014","Brilliant Company to work for","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW3925593.htm","Manager","Current employee, more than 3 years","","","Hyderābād","- Professional Independence
- Open for new ideas
- Allows employees to take calculated risk
- Open door policy. I have access to the top at any given time
- wonderful people 
- rich legacy
- Loyalty towards organization is what you see all around.
- employees swear by the culture
- Values defined by the organization is just not on the board but is followed every day in everything that we do
- Work Life Balance","- Sometimes freedom is used as a tool for being non productive
- Salary is a notch less than the market but this is personal and irrelevant","Show more"
"3.0","3 Mar 2013","good","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW2421652.htm","Anonymous employee","Current employee, more than 3 years","","","Hyderābād","Brand name.Helping the poor people  and educating their children  is very nice,cultural events for employes and awards night good for employes","every thing in reddy's is good except the increments for the employes,small scale industriesare offering nice increments. ""mostly people are leaving from the companies due to package problem""  Every one is interested to work here due to Brand name of the company unless until nothing is their in this great organisation","Show more"
"3.0","11 Jul 2013","Good learning organization, open culture but is slow paced","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW2811452.htm","Assistant manager","Current employee, more than 3 years","","","Hyderābād","Open and transparent organization. 
Gives room to employees to innovate something on their own, to develop creative ideas.
Cross functional movements quite frequent.","Slow paced
Top layer is too crowded. 
Junior management is very low paid.
Low pay master","Show more"
"3.0","17 Apr 2016","Depends on your team, business unit and leaders","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW10302345.htm","Associate director","Current employee, more than 3 years","","","Hyderābād","Great place to learn for lower and middle management, and great place to make an impact. Some really smart leaders to work with.","Unfortunately, not all leaders are smart. Barely any rotations in leadership positions. Middle management has no career path to look forward to as the top management does not shuffle/move around. Poor office culture and emerging HR practices. 

Office environment and facilities do not compare well with MNCs. Difficult to attract top talent and retain them as career management is poor. 

Too much emphasis on campus hire/MBAs and no connection of the top leadership with lateral hires from consulting/industry. No salary correction mechanism for lateral hires.","Show more"
"4.0","13 Jan 2017","An organisation with great values, a high degree of openness, and a visionary leadership","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW13319092.htm","Director","Current employee, more than 3 years","","","Mumbai","Huge degree of openness, and very visionary and inspiring leaders in the current CEO and Chairman. In the industry, this company is far ahead of its counterparts in terms of its values, ethics and future facing strategy","Compensation is average, certain degree of slowness in work culture, and more local than multicultural and multi regional work force","Show more"
"4.0","30 Jul 2021","Learn, Grow and repeat.","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW50479730.htm","Anonymous employee","Former employee, more than 8 years","","","Hyderābād","The brand is larger than life. The campuses are fabulous. Amazing leadership (MCs). The company has a great vision and under Erez’s leadership the company has grown a lot.","I have been made to feel like Dr. Reddys is doing me a favour. While the company culture is really progressive the HR team is run like a dictatorship below MC level.","Show more"
"4.0","14 Feb 2013","Very good experience for new bachelors student","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW2370350.htm","Junior manager - process engineering","Current employee, more than 1 year","","","Hyderābād","Graduating straight from the university, this company has given very good oppurtunity to learn and understand several processes. I worked in manufacturing and the experience I had there is immense","The top management wants to change the middle management so that more engineers get in and make the plant more efficient. which I think back fires a lot. So for an engineer the plant people are less cooperative and getting things done is painful. Growth in the company is very slow","Show more"
"4.0","7 Aug 2018","Fabulous company for employees","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW21855530.htm","Process engineer","Current employee, more than 3 years","","","Visakhapatnam","* It is a fabulous place to work.
* In India it is the best pharmaceutical manufacturer that gives employees loads of benefits.
* It has a very good and vast system.
* It is a knowledge bank where you have to learn things yourself.","* The multi level of decision making.
* Hard to learn the complexity in the system quickly.
* Fear to do a new or unknown assignment or job.
* Variable pay","Show more"
"2.0","20 Aug 2021","Unprofessional","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW51392687.htm","Human resources business partner","Former employee, less than 1 year","","","Hyderābād","Good HR processes in place","1. Toxic culture: People are rude and lackadaisical. There's no importance given to behavioral competencies.
There are daily meetings held whereby people just criticize each other rather than discussing work.
There is toxic politics at every level.

2. Immature management: Management lacks vision and strategy.

3. Unsustainable process: Processes keep changing

4. Unethical hiring process: Incomplete information about the role band and career path is given by the recruiter. Also complete information isn't shared on the reimbursements for medical check ups, whixh is mandatory to get an offer formally.

5. Patriarchal and regressive work culture:  Mindset of the leadership is not progressive. There are hardly any women leaders at any level.","Show more"
